Surfactant name,Type of Surfactant,EACN Oil,Salinity ppm,Salinity mEq/mL,Temp,Conc Surf,Hydrophilic Type,Hydrophobic Num of Surf,Hydrophilic MW g/mol,IFT,Oil Solubilization Ratio,Water Solubilization Ratio
SOLOTERRA 961,Anionic,12,10000,0.1711,50,1.5,Sulfonate,12.5,81,1.00E-01,1.33,2.67
SOLOTERRA 961,Anionic,18,10000,0.1711,50,2,Sulfonate,12.5,81,2.00E-01,6.12,1.02
SOLOTERRA 925,Anionic,18,10000,0.1711,50,0.5,Sulfonate,12.5,81,9.00E-02,100,2
SOLOTERRA 981,Anionic,12,10000,0.1711,50,1,Sulfonate,12.5,81,5.00E-03,6.12,100
SOLOTERRA 982,Anionic,12,10000,0.1711,50,0.5,Sulfonate,12.5,81,1.00E-01,128,200
TERRAVIS S9,Nonionic,12,10000,0.1711,50,0.5,Ethoxylate,13.5,396,3.00E-01,44,200
TERRAVIS KK3-6,Nonionic,12,10000,0.1711,50,1.5,Ethoxylate,13,264,8.00E-02,61.22,1.36
TERRAVIS KK3-8,Nonionic,12,10000,0.1711,50,1.5,Ethoxylate,13,352,5.00E-01,12.25,2.72
ALFOTERRA 123-13S 90M,Anionic,12,10000,0.1711,50,0.5,Sulfate,12.5,96.06,9.00E-02,12.25,8.16
ALFOTERRA 123-8S 90M,Anionic,12,10000,0.1711,50,1.5,Sulfate,10,96.06,4.00E-02,66.67,1.36
ALFOTERRA S23-7DS 90M,Anionic,12,10000,0.1711,50,0.5,Sulfate,7,96.06,9.00E-02,140,0
ALFOTERRA S23-13S 90M,Anionic,12,10000,0.1711,50,0.5,Sulfate,13,96.06,8.00E-03,16.33,8.16
SOLOTERRA 938,Anionic,12,10000,0.1711,50,0.5,Sulfonate,12.5,81,3.00E-02,126.53,0
A125,Anionic,12,10000,0.1711,50,1.5,Ethoxycarboxylate,12,220,5.00E-02,9,8.51
SOLOTERRA 926,Anionic,12,10000,0.1711,50,2.5,Sulfonate,12.5,81,3.00E-01,33.33,13.33
SOLOTERRA 927,Anionic,12,10000,0.1711,50,0.5,Sulfonate,12.5,81,5.00E-01,8.16,4.08
ALFOTERRA L145-4S 90M,Anionic,12,10000,0.1711,50,0.5,Sulfate,14,96.06,6.00E-02,65.31,8.16
SOLOTERRA 970,Anionic,12,10000,0.1711,50,0.5,Sulfonate,12.5,81,5.00E-02,130.61,4.08
ALFOTERRA L145-8S 90M,Anionic,12,10000,0.1711,50,0.5,Sulfate,14,96.06,2.00E-02,72,4
ALFOTERRA L145-8S 90M,Anionic,12,10000,0.1711,50,0.5,Sulfate,14,96.06,2.00E-02,44.9,8.16
ALFOTERRA L145-4S 90M,Anionic,12,10000,0.1711,50,1,Sulfate,14,96.06,9.00E-02,30.61,4.08
ALFOTERRA G16-15S 90M,Anionic,12,10000,0.1711,50,1,Sulfate,16,96.06,1.00E-02,10.42,8.33
ALFOTERRA G12-15S 90M,Anionic,12,10000,0.1711,50,1.5,Sulfate,12,96.06,8.00E-03,4.08,2.72
SOLOTERRA 952,Anionic,12,10000,0.1711,50,2,Sulfonate,12.5,81,4.00E-01,12,9
SOLOTERRA 984,Anionic,12,10000,0.1711,50,1.5,Sulfonate,12.5,81,9.00E-03,9.72,2.78
ALFOTERRA S23-7S 90M,Anionic,12,10000,0.1711,50,0.5,Sulfate,7,96.06,1.00E-01,154.17,16.67
SOLOTERRA 981,Anionic,18,10000,0.1711,50,2,Sulfonate,12.5,81,5.00E-03,1,4
SOLOTERRA 982,Anionic,18,10000,0.1711,50,2,Sulfonate,12.5,81,3.00E-01,46.94,0
TERRAVIS S9,Nonionic,18,10000,0.1711,50,2,Ethoxylate,13.5,396,5.00E-01,29,0
TERRAVIS KK3-6,Nonionic,18,10000,0.1711,50,2,Ethoxylate,13,264,3.00E-01,19.79,1.04
TERRAVIS KK3-8,Nonionic,18,10000,0.1711,50,2,Ethoxylate,13,352,2.00E+00,2,0
ALFOTERRA S23-13S 90M,Anionic,18,10000,0.1711,50,2,Sulfate,13,96.06,2.00E-02,8,0
ALFOTERRA 123-8S 90M,Anionic,18,10000,0.1711,50,2,Sulfate,10,96.06,1.00E-01,15,0
ALFOTERRA 123-13S 90M,Anionic,18,10000,0.1711,50,2,Sulfate,12.5,96.06,3.00E-02,28,0
ALFOTERRA S23-7DS 90M,Anionic,18,10000,0.1711,50,2,Sulfate,7,96.06,2.00E-01,28,0
SOLOTERRA 926,Anionic,18,10000,0.1711,50,2,Sulfonate,12.5,81,2.00E-01,7.29,2.08
SOLOTERRA 938,Anionic,18,10000,0.1711,50,2,Sulfonate,12.5,81,1.00E-01,38.78,2.04
SOLOTERRA 952,Anionic,18,10000,0.1711,50,2,Sulfonate,12.5,81,2.00E-03,4.17,2.08
SOLOTERRA 962,Anionic,18,10000,0.1711,50,2,Sulfonate,12.5,81,2.00E-01,22,8
SOLOTERRA 970,Anionic,18,10000,0.1711,50,2,Sulfonate,12.5,81,9.00E-02,40,0
ALFOTERRA G16-15S 90M,Anionic,18,10000,0.1711,50,2,Sulfate,16,96.06,5.00E-03,16.33,2.04
ALFOTERRA L145-4S 90M,Anionic,18,10000,0.1711,50,2,Sulfate,14,96.06,1.00E-01,48.98,1.02
ALFOTERRA L145-4S,Anionic,18,10000,0.1711,50,2,Sulfate,14,96.06,2.00E-01,30.61,2.04
ALFOTERRA L145-8S,Anionic,18,10000,0.1711,50,2,Sulfate,14,96.06,8.00E-02,52.8,3.13
ALFOTERRA G12-15S,Anionic,18,10000,0.1711,50,2,Sulfate,12,96.06,1.00E-02,5,0
ALFOTERRA L145-8S,Anionic,18,10000,0.1711,50,2,Sulfate,14,96.06,8.00E-02,11.22,2.04
TERRAVIS S4,Nonionic,18,10000,0.1711,50,2,Ethoxylate,13,176,4.00E+00,5.21,4.17
TERRAVIS KK3-4,Nonionic,18,10000,0.1711,50,2,Ethoxylate,13,176,4.00E-02,20.41,1.02
SOLOTERRA 984,Anionic,18,10000,0.1711,50,2,Sulfonate,12.5,81,3.00E+00,1,4
A125,Anionic,18,10000,0.1711,50,2,Ethoxycarboxylate,12,220,5.00E-01,56.52,7.61
SOLOTERRA 981,Anionic,6,10000,0.1711,50,2,Sulfonate,12.5,81,6.00E-02,4.08,5.1
SOLOTERRA 982,Anionic,6,10000,0.1711,50,2,Sulfonate,12.5,81,4.00E-01,3.06,2.04
TERRAVIS S9,Nonionic,6,10000,0.1711,50,2,Ethoxylate,13.5,396,2.00E-01,4.08,3.47
TERRAVIS KK3-8,Nonionic,6,10000,0.1711,50,2,Ethoxylate,13,352,3.00E-01,3,1
TERRAVIS KK3-6,Nonionic,6,10000,0.1711,50,2,Ethoxylate,13,264,3.00E-02,4.08,2.04
Alfoterra 123-13S,Anionic,6,10000,0.1711,50,2,Sulfate,12.5,96.06,4.00E-02,7.45,6.38
ALFOTERRA 123-8S,Anionic,6,10000,0.1711,50,2,Sulfate,10,96.06,1.00E-01,7.29,4.17
ALFOTERRA S23-7DS,Anionic,6,10000,0.1711,50,2,Sulfate,7,96.06,6.00E-01,5.1,3.06
SOLOTERRA 925,Anionic,6,10000,0.1711,50,2,Sulfonate,12.5,81,2.00E+00,2,1
SOLOTERRA 926,Anionic,6,10000,0.1711,50,2,Sulfonate,12.5,81,1.00E-01,2.04,2.04
